Linux 4.15.0-47-generic (localhost) 	14.05.2019 	_x86_64_	(4 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          16,91    0,02    5,24    0,06    0,00   77,77

Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
loop0             0,02         0,02         0,00      12494          0
loop1             0,00         0,00         0,00       2214          0
loop2             0,00         0,00         0,00       1087          0
loop3             0,25         0,26         0,00     184075          0
loop4             0,00         0,00         0,00       1268          0
loop5             0,00         0,00         0,00       1185          0
loop6             0,01         0,01         0,00       9621          0
loop7             0,00         0,00         0,00       1227          0
nvme0n1           1,73        17,47        26,22   12580127   18885747
dm-0              2,34        17,45        25,81   12567379   18587580

