Linux 3.10.0-514.26.2.el7.x86_64 (localhost)    15.05.2019      _x86_64_        (12 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               4,56     6,48   29,52   29,77  9997,37  2185,94   410,95     1,10   18,57   28,97    8,25   1,83  10,88
sdb               0,00     1,02   14,84   13,68  3076,80  2223,59   371,73     0,64   22,55   21,81   23,34   2,24   6,38
scd0              0,00     0,00    0,00    0,00     0,00     0,00     8,00     0,00    7,45    7,45    0,00   7,45   0,00
dm-0              0,00     0,00    0,23    1,23    26,60     8,61    48,33     0,01    4,85   24,57    1,16   1,39   0,20
dm-1              0,00     0,00    5,32    6,17    21,28    24,70     8,00     0,22   19,29    9,01   28,15   0,55   0,63
dm-2              0,00     0,00   43,37   43,56 13026,28  4376,22   400,38     0,04    0,45   26,90   13,35   1,54  13,38

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0,00     3,00  113,00   19,00   904,00   182,50    16,46     1,00    7,70    8,92    0,42   7,55  99,60
sdb               0,00     0,00  286,00    0,00  2432,00     0,00    17,01     1,30    4,58    4,58    0,00   3,49  99,80
scd0              0,00     0,00    0,00    0,00     0,00     0,00     0,00     0,00    0,00    0,00    0,00   0,00   0,00
dm-0              0,00     0,00    0,00   17,00     0,00   142,50    16,76     0,00    0,12    0,00    0,12   0,06   0,10
dm-1              0,00     0,00    0,00    0,00     0,00     0,00     0,00     0,00    0,00    0,00    0,00   0,00   0,00
dm-2              0,00     0,00  399,00    5,00  3336,00    40,00    16,71     2,31    5,75    5,81    1,20   2,48 100,00
