Linux 4.15.0-47-generic (localhost) 	14.05.2019 	_x86_64_	(4 CPU)

Device            r/s     w/s     rkB/s     wkB/s   rrqm/s   wrqm/s  %rrqm  %wrqm r_await w_await aqu-sz rareq-sz wareq-sz  svctm  %util
loop0            0,02    0,00      0,02      0,00     0,00     0,00   0,00   0,00    0,10    0,00   0,00     1,09     0,00   0,00   0,00
loop1            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,24    0,00   0,00    14,47     0,00   0,08   0,00
loop2            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,37    0,00   0,00    12,64     0,00   0,05   0,00
loop3            0,25    0,00      0,26      0,00     0,00     0,00   0,00   0,00    0,23    0,00   0,00     1,01     0,00   0,01   0,00
loop4            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,03    0,00   0,00     5,15     0,00   0,00   0,00
loop5            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,12    0,00   0,00     7,05     0,00   0,00   0,00
loop6            0,01    0,00      0,01      0,00     0,00     0,00   0,00   0,00    0,04    0,00   0,00     1,03     0,00   0,00   0,00
loop7            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     6,53     0,00   0,00   0,00
nvme0n1          0,77    0,96     17,47     26,22     0,01     0,68   1,20  41,52    0,17    1,85   0,00    22,57    27,45   0,11   0,02
dm-0             0,78    1,56     17,45     25,81     0,00     0,00   0,00   0,00    0,23   22,35   0,04    22,33    16,55   0,29   0,07

Device            r/s     w/s     rkB/s     wkB/s   rrqm/s   wrqm/s  %rrqm  %wrqm r_await w_await aqu-sz rareq-sz wareq-sz  svctm  %util
loop0            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     0,00     0,00   0,00   0,00
loop1            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     0,00     0,00   0,00   0,00
loop2            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     0,00     0,00   0,00   0,00
loop3            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     0,00     0,00   0,00   0,00
loop4            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     0,00     0,00   0,00   0,00
loop5            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     0,00     0,00   0,00   0,00
loop6            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     0,00     0,00   0,00   0,00
loop7            0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     0,00     0,00   0,00   0,00
nvme0n1          0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     0,00     0,00   0,00   0,00
dm-0             0,00    0,00      0,00      0,00     0,00     0,00   0,00   0,00    0,00    0,00   0,00     0,00     0,00   0,00   0,00

